District,Size,Price
Алматинский,70,18200000
Есильский,52,54000000
Алматинский,118,22750000
Есильский,88,22500000
Алматинский,55,13800000
Алматинский,40,14500000
Сарыаркинский,42,12000000
Есильский,33,11000000
Алматинский,30,25100000
Есильский,73,17600000
Есильский,46,28200000
Сарыаркинский,92,19500000
Есильский,72,26000000
Сарыаркинский,122,19500000
Алматинский,118,22750000
Есильский,72,12900000
Алматинский,88,19500000
Есильский,40,28200000
Есильский,84,46500000
Есильский,92,11000000
Есильский,30,26000000
Есильский,159,22500000
Есильский,50,17835000
Сарыаркинский,55,19000000
Алматинский,54,29500000
Есильский,60,54000000
Алматинский,65,25100000
Есильский,118,26000000
Сарыаркинский,129,20000000
Алматинский,110,11300000
Есильский,38,30000000
Есильский,90,11950000
Есильский,38,27500000
Есильский,32,27500000
Есильский,37,36531040
Есильский,94,15999000
Сарыаркинский,45,15300000
Алматинский,50,19000000
Есильский,62,32000000
Алматинский,68,46000000
Есильский,21,10500000
Есильский,33,25300000
Есильский,81,27500000
Есильский,30,26812548
Есильский,127,30000000
Алматинский,55,30300000
Сарыаркинский,40,31300000
Есильский,62,13760000
Сарыаркинский,30,12500000
Есильский,68,10400000
Сарыаркинский,105,11500000
Есильский,117,11000000
Есильский,38,27300000
Алматинский,35,55800000
Сарыаркинский,30,13900000
Алматинский,66,70000000
Алматинский,63,25000000
Сарыаркинский,127,10550000
Есильский,63,44000000
Есильский,306,40000000
Сарыаркинский,47,12800000
Алматинский,151,55800000
Есильский,163,47800000
Есильский,127,36500000
Есильский,140,20900000
Алматинский,37,70000000
Сарыаркинский,92,21000000
Алматинский,70,17500000
Алматинский,150,10800000
Есильский,42,24900000
Есильский,61,16950000
Алматинский,63,19500000
Алматинский,40,17500000
Есильский,57,18500000
Алматинский,94,17400000
Есильский,57,36999999
Есильский,69,23000000
Есильский,57,24900000
Есильский,94,12500000
Сарыаркинский,65,29000000
Есильский,54,94000000
Сарыаркинский,75,16500000
Сарыаркинский,156,12000000
Алматинский,70,29000000
Алматинский,45,13500000
Есильский,83,15000000
Алматинский,50,17900000
Сарыаркинский,66,10000000
Алматинский,39,25000000
Есильский,40,23000000
Есильский,107,65000000
Есильский,40,17500000
Алматинский,30,10000000
